timestamp,cpu_percent,ram_percent,failed_logins,active_users,open_ports,hour_of_day
2026-06-25 06:48:58,7.7,66.7,0,1,2,6
2026-06-25 06:49:09,9.3,66.8,0,1,2,6
2026-06-25 06:49:20,1.2,66.3,0,1,2,6
2026-06-25 06:49:31,1.8,66.5,0,1,2,6
2026-06-25 06:49:42,1.0,66.4,0,1,2,6
2026-06-25 06:49:53,0.8,66.7,0,1,2,6
2026-06-25 06:50:04,1.0,66.7,0,1,2,6
2026-06-25 06:50:15,10.5,67.0,0,1,2,6
2026-06-25 06:50:26,12.4,67.6,0,1,2,6
2026-06-25 06:50:37,1.8,66.3,0,1,2,6
2026-06-25 06:50:48,0.3,66.2,0,1,2,6
2026-06-25 06:50:59,0.8,66.9,0,1,2,6
2026-06-25 06:51:10,0.8,66.9,0,1,2,6
2026-06-25 06:51:21,1.0,67.0,0,1,2,6
2026-06-25 06:51:32,0.8,67.1,0,1,2,6
2026-06-25 06:51:43,0.5,65.6,0,1,2,6
2026-06-25 06:51:54,4.0,65.7,0,1,2,6
2026-06-25 06:52:05,6.4,66.3,0,1,2,6
2026-06-25 06:52:17,0.8,66.5,0,1,2,6
2026-06-25 06:52:28,9.2,66.0,0,1,2,6
2026-06-25 06:52:39,0.8,67.0,0,1,2,6
2026-06-25 06:52:50,10.1,67.0,0,1,2,6
2026-06-25 06:53:01,13.3,67.8,0,1,2,6
2026-06-25 06:53:12,1.2,66.6,0,1,2,6
2026-06-25 06:53:23,0.5,66.4,0,1,2,6
2026-06-25 06:53:34,12.8,66.5,0,1,2,6
2026-06-25 06:53:45,0.5,66.8,0,1,2,6
2026-06-25 06:53:56,8.2,66.6,0,1,2,6
2026-06-25 06:54:07,7.4,66.6,0,1,2,6
2026-06-25 06:54:18,24.7,66.6,0,1,2,6
2026-06-25 06:54:29,6.9,67.1,0,1,2,6
2026-06-25 06:54:40,3.8,67.2,0,1,2,6
2026-06-25 06:54:51,5.8,67.4,0,1,2,6
2026-06-25 06:55:02,5.6,67.5,0,1,2,6
2026-06-25 06:55:13,2.8,67.5,0,1,2,6
2026-06-25 06:55:24,9.3,65.7,0,1,2,6
2026-06-25 06:55:35,2.8,66.0,0,1,2,6
2026-06-25 06:55:46,3.5,65.6,0,1,2,6
2026-06-25 06:55:57,4.1,65.9,0,1,2,6
2026-06-25 06:56:08,1.0,66.0,0,1,2,6
2026-06-25 06:56:19,6.9,67.2,0,1,2,6
2026-06-25 06:56:30,14.1,67.5,0,1,2,6
2026-06-25 06:56:41,8.3,67.6,0,1,2,6
2026-06-25 06:56:52,0.5,65.5,0,1,2,6
2026-06-25 06:57:03,1.0,65.6,0,1,2,6
2026-06-25 06:57:14,0.8,65.2,0,1,2,6
2026-06-25 06:57:25,1.3,65.8,0,1,2,6
2026-06-25 06:57:36,1.0,66.1,0,1,2,6
2026-06-25 06:57:47,1.5,66.3,0,1,2,6
2026-06-25 06:57:58,1.0,66.5,0,1,2,6
2026-06-25 06:58:09,3.6,67.0,0,1,2,6
2026-06-25 06:58:20,1.0,67.0,0,1,2,6
2026-06-25 06:58:31,0.8,67.0,0,1,2,6
2026-06-25 06:58:42,0.8,67.1,0,1,2,6
2026-06-25 06:58:53,0.5,67.1,0,1,2,6
2026-06-25 06:59:04,0.8,67.1,0,1,2,6
2026-06-25 06:59:15,0.8,67.2,0,1,2,6
2026-06-25 06:59:26,0.3,67.1,0,1,2,6
2026-06-25 06:59:37,0.8,67.1,0,1,2,6
2026-06-25 06:59:48,1.5,65.9,0,1,2,6
2026-06-25 06:59:59,0.5,66.0,0,1,2,6
2026-06-25 07:00:10,1.0,66.2,0,1,2,7
2026-06-25 07:00:21,0.5,66.3,0,1,2,7
2026-06-25 07:00:32,1.0,66.5,0,1,2,7
2026-06-25 07:00:43,0.8,65.6,0,1,2,7
2026-06-25 07:00:54,0.8,65.9,0,1,2,7
2026-06-25 07:01:05,0.5,65.6,0,1,2,7
2026-06-25 07:01:16,1.0,65.8,0,1,2,7
2026-06-25 07:01:27,1.0,66.7,0,1,2,7
2026-06-25 07:01:38,0.8,66.9,0,1,2,7
2026-06-25 07:01:49,0.8,67.0,0,1,2,7
2026-06-25 07:02:00,1.0,67.0,0,1,2,7
2026-06-25 07:02:12,1.0,65.6,0,1,2,7
2026-06-25 07:02:23,0.8,65.7,0,1,2,7
2026-06-25 07:02:34,0.8,66.2,0,1,2,7
2026-06-25 07:02:45,0.5,66.5,0,1,2,7
2026-06-25 07:02:56,2.0,66.5,0,1,2,7
2026-06-25 07:03:07,0.8,66.6,0,1,2,7
2026-06-25 07:03:18,0.5,65.7,0,1,2,7
2026-06-25 07:03:29,0.8,65.7,0,1,2,7
2026-06-25 07:03:40,0.8,66.0,0,1,2,7
2026-06-25 07:03:51,0.8,66.3,0,1,2,7
2026-06-25 07:04:02,14.2,66.7,0,1,2,7
2026-06-25 07:04:13,5.8,67.1,0,1,2,7
2026-06-25 07:04:24,4.8,67.1,0,1,2,7
2026-06-25 07:04:35,1.0,66.6,0,1,2,7
2026-06-25 07:04:46,1.3,66.3,0,1,2,7
2026-06-25 07:04:57,1.0,65.4,0,1,2,7
2026-06-25 07:05:08,0.8,65.5,0,1,2,7
2026-06-25 07:05:19,0.8,66.2,0,1,2,7
2026-06-25 07:05:30,1.7,66.4,0,1,2,7
2026-06-25 07:05:41,0.8,66.4,0,1,2,7
2026-06-25 07:05:52,0.5,66.5,0,1,2,7
2026-06-25 07:06:03,13.9,66.8,0,1,2,7
2026-06-25 07:06:14,12.1,68.0,0,1,2,7
2026-06-25 07:06:25,5.4,68.1,0,1,2,7
2026-06-25 07:06:36,8.7,69.9,0,1,2,7
2026-06-25 07:06:47,5.6,72.2,0,1,2,7
2026-06-25 07:06:58,6.9,75.5,0,1,2,7
2026-06-25 07:07:09,7.0,78.5,0,1,2,7
2026-06-25 07:07:20,13.2,76.2,0,1,2,7
2026-06-25 07:07:31,1.8,63.7,0,1,2,7
2026-06-25 07:07:42,8.2,71.8,0,1,2,7
2026-06-25 07:07:53,40.6,65.1,0,1,2,7
2026-06-25 07:08:04,7.3,69.3,0,1,2,7
2026-06-25 07:08:15,9.2,66.7,0,1,2,7
2026-06-25 07:08:26,18.6,72.1,0,1,2,7
2026-06-25 07:08:37,8.0,69.1,0,1,2,7
2026-06-25 07:08:48,15.1,73.9,0,1,2,7
2026-06-25 07:08:59,1.5,71.1,0,1,2,7
2026-06-25 07:09:10,16.0,77.5,0,1,2,7
2026-06-25 07:09:21,19.1,77.8,0,1,2,7
2026-06-25 07:09:32,30.0,80.2,0,1,2,7
2026-06-25 07:09:43,12.1,83.8,0,1,2,7
2026-06-25 07:09:54,5.1,83.3,0,1,2,7
2026-06-25 07:10:05,9.9,83.1,0,1,2,7
2026-06-25 07:10:16,1.3,82.9,0,1,2,7
2026-06-25 07:10:27,21.7,67.2,0,1,2,7
2026-06-25 07:10:38,5.6,67.1,0,1,2,7
2026-06-25 07:10:49,6.1,67.8,0,1,2,7
2026-06-25 07:11:00,3.3,84.7,0,1,2,7
2026-06-25 07:11:11,5.7,80.6,0,1,2,7
2026-06-25 07:11:22,22.9,77.5,0,1,2,7
2026-06-25 07:11:33,37.4,76.0,0,1,2,7
2026-06-25 07:11:44,74.3,75.6,0,1,2,7
2026-06-25 07:11:55,4.4,70.1,0,1,2,7
2026-06-25 07:12:06,8.4,76.2,0,1,2,7
2026-06-25 07:12:18,20.9,68.4,0,1,2,7
2026-06-25 07:12:29,29.7,73.7,0,1,2,7
2026-06-25 07:12:40,15.3,73.0,0,1,2,7
2026-06-25 07:12:51,18.0,90.7,0,1,2,7
2026-06-25 07:13:02,7.7,88.6,0,1,2,7
2026-06-25 07:13:13,1.8,45.7,0,1,2,7
2026-06-25 07:13:24,17.3,46.4,0,1,2,7
2026-06-25 07:13:35,10.2,48.2,0,1,2,7
2026-06-25 07:13:46,18.2,48.5,0,1,2,7
2026-06-25 07:13:57,5.1,49.1,0,1,2,7
2026-06-25 07:14:08,1.0,49.0,0,1,2,7
2026-06-25 07:14:19,1.3,49.4,0,1,2,7
2026-06-25 07:14:30,1.2,49.8,0,1,2,7
2026-06-25 07:14:41,0.8,49.9,0,1,2,7
2026-06-25 07:14:52,0.5,35.8,0,1,2,7
2026-06-25 07:15:03,1.2,35.0,0,1,2,7
2026-06-25 07:15:14,0.5,34.9,0,1,2,7
2026-06-25 07:15:25,0.8,34.6,0,1,2,7
2026-06-25 07:15:36,0.7,34.7,0,1,2,7
2026-06-25 07:15:47,0.8,34.6,0,1,2,7
2026-06-25 07:15:58,0.5,34.5,0,1,2,7
2026-06-25 07:16:09,0.8,34.5,0,1,2,7
